2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,352.79,439.83,"12,53,716"
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,338.55,422.07,"10,32,358"
3,DEN,Denver International,Denver,CO,302.55,377.19,"9,95,251"
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,360.85,449.88,"9,81,435"
5,EWR,Newark Liberty International,Newark,NJ,403.74,503.35,"9,30,056"
6,BOS,Logan International,Boston,MA,328.21,409.18,"9,20,214"
7,SEA,Seattle/Tacoma International,Seattle,WA,337.31,420.52,"8,61,535"
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,383.43,478.02,"8,36,341"
9,MCO,Orlando International,Orlando,FL,249.74,311.35,"8,28,554"
10,SFO,San Francisco International,San Francisco,CA,379.43,473.03,"8,11,808"
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,338.57,422.1,"7,93,797"
12,LGA,LaGuardia,New York-La Guardia,NY,329.16,410.36,"7,30,774"
13,JFK,John F. Kennedy International,New York-JFK,NY,390.2,486.46,"7,15,113"
14,LAS,Harry Reid International,Las Vegas,NV,240.35,299.65,"6,72,945"
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,372.21,464.03,"6,12,265"
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,413.66,515.71,"5,91,987"
17,PHL,Philadelphia International,Philadelphia,PA,379.26,472.82,"5,81,785"
18,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,245.35,305.88,"5,69,566"
19,SAN,San Diego International,San Diego,CA,326.66,407.25,"5,66,704"
20,DTW,Detroit Metro Wayne County,Detroit,MI,373.37,465.48,"5,44,649"
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,357.42,445.6,"5,16,012"
22,TPA,Tampa International,Tampa,FL,308.88,385.08,"5,05,498"
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,318.44,396.99,"4,71,540"
24,AUS,Austin - Bergstrom International,Austin,TX,341.51,425.76,"4,68,640"
25,MIA,Miami International,Miami,FL,319.52,398.35,"4,65,197"
26,PDX,Portland International,Portland,OR,329.09,410.28,"4,23,065"
27,BNA,Nashville International,Nashville,TN,350.04,436.4,"4,15,942"
28,CLT,Charlotte Douglas International,Charlotte,NC,425.77,530.81,"4,06,215"
29,SLC,Salt Lake City International,Salt Lake City,UT,359.45,448.13,"4,04,065"
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,344.17,429.08,"3,77,142"
31,SMF,Sacramento International,Sacramento,CA,339.37,423.09,"3,46,768"
32,HNL,Daniel K Inouye International,Honolulu,HI,374.36,466.72,"3,43,489"
33,MDW,Chicago Midway International,Chicago-Midway,IL,305.63,381.03,"3,42,441"
34,STL,St Louis Lambert International,St. Louis,MO,363.48,453.15,"3,03,255"
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,298.98,372.73,"2,93,529"
36,IAD,Washington Dulles International,Washington-Dulles,DC,427.37,532.8,"2,92,444"
37,MCI,Kansas City International,Kansas City,MO,348.32,434.25,"2,82,101"
38,DAL,Dallas Love Field,Dallas-Love Field,TX,303.32,378.15,"2,74,687"
39,IND,Indianapolis International,Indianapolis,IN,346.15,431.55,"2,68,397"
40,CLE,Cleveland-Hopkins International,Cleveland,OH,319.8,398.7,"2,68,394"
41,SNA,John Wayne Airport-Orange County,Santa Ana,CA,372.27,464.11,"2,68,194"
42,OAK,Metro Oakland International,Oakland,CA,287.64,358.61,"2,68,118"
43,SAT,San Antonio International,San Antonio,TX,356.41,444.34,"2,61,976"
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,301.66,376.08,"2,60,447"
45,PIT,Pittsburgh International,Pittsburgh,PA,349.92,436.25,"2,53,479"
46,SJU,Luis Munoz Marin International,San Juan,PR,274.87,342.69,"2,52,759"
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,320.78,399.92,"2,43,473"
48,CMH,John Glenn Columbus International,Columbus,OH,357.79,446.06,"2,25,783"
49,HOU,William P Hobby,Houston-Hobby,TX,338.79,422.37,"2,15,872"
50,RSW,Southwest Florida International,Fort Myers,FL,311.75,388.66,"1,97,390"
51,BDL,Bradley International,Hartford,CT,373.67,465.85,"1,96,921"
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,334.01,416.41,"1,85,939"
53,JAX,Jacksonville International,Jacksonville,FL,360.52,449.46,"1,81,957"
54,ONT,Ontario International,Ontario,CA,331.9,413.78,"1,79,868"
55,MKE,General Mitchell International,Milwaukee,WI,335.88,418.74,"1,72,259"
56,BUR,Bob Hope,Burbank,CA,267.28,333.22,"1,66,485"
57,RIC,Richmond International,Richmond,VA,402.18,501.39,"1,40,508"
58,CHS,Charleston AFB/International,Charleston,SC,355.8,443.57,"1,38,997"
59,OMA,Eppley Airfield,Omaha,NE,356.55,444.51,"1,37,674"
60,BUF,Buffalo Niagara International,Buffalo,NY,306.52,382.14,"1,31,633"
61,MEM,Memphis International,Memphis,TN,391.89,488.57,"1,29,884"
62,BOI,Boise Air Terminal,Boise,ID,345.49,430.72,"1,27,913"
63,ABQ,Albuquerque International Sunport,Albuquerque,NM,345.6,430.86,"1,26,659"
64,ORF,Norfolk International,Norfolk,VA,408.45,509.22,"1,24,459"
65,SDF,Louisville Muhammad Ali International,Louisville,KY,387.1,482.6,"1,18,896"
66,ELP,El Paso International,El Paso,TX,373.13,465.19,"1,15,210"
67,OKC,Will Rogers World,Oklahoma City,OK,385.68,480.83,"1,14,953"
68,GRR,Gerald R. Ford International,Grand Rapids,MI,387.58,483.2,"1,13,422"
69,OGG,Kahului Airport,Kahului,HI,298.09,371.63,"1,12,210"
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,450.53,561.68,"1,10,792"
71,GEG,Spokane International,Spokane,WA,345.39,430.6,"1,07,983"
72,PVD,Rhode Island Tf Green International,Providence,RI,322.43,401.97,"1,05,267"
73,RNO,Reno/Tahoe International,Reno,NV,346.57,432.07,"1,03,006"
74,TUS,Tucson International,Tucson,AZ,391.47,488.05,"1,01,796"
75,LGB,Long Beach Airport,Long Beach,CA,215.62,268.82,"91,391"
76,DSM,Des Moines International,Des Moines,IA,379.37,472.96,"91,016"
77,SYR,Syracuse Hancock International,Syracuse,NY,385.92,481.13,"87,283"
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,405.06,504.99,"84,841"
79,TUL,Tulsa International,Tulsa,OK,394.23,491.49,"84,388"
80,ALB,Albany International,Albany,NY,399.22,497.71,"80,925"
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,443.54,552.96,"80,899"
82,SAV,Savannah/Hilton Head International,Savannah,GA,377.74,470.93,"80,755"
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,363.07,452.65,"79,663"
84,HPN,Westchester County,White Plains,NY,415.37,517.84,"79,525"
85,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,299.37,373.23,"74,248"
86,TYS,McGhee Tyson,Knoxville,TN,448.12,558.68,"70,510"
87,GSP,Greenville-Spartanburg International,Greer,SC,419.69,523.23,"66,643"
88,PNS,Pensacola International,Pensacola,FL,429.64,535.63,"65,408"
89,LIH,Lihue Airport,Lihue,HI,274.37,342.06,"63,641"
90,COS,City of Colorado Springs Municipal,Colorado Springs,CO,352.21,439.1,"63,276"
91,MYR,Myrtle Beach International,Myrtle Beach,SC,268.41,334.62,"62,463"
92,FAT,Fresno Yosemite International,Fresno,CA,417.48,520.47,"62,442"
93,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,425.19,530.08,"60,257"
94,PWM,Portland International Jetport,Portland,ME,363.81,453.56,"58,808"
95,MSN,Dane County Regional-Truax Field,Madison,WI,461.73,575.64,"58,807"
96,AVL,Asheville Regional,Asheville,NC,359.64,448.37,"54,972"
97,BZN,Bozeman Yellowstone International,Bozeman,MT,459.33,572.65,"52,928"
98,PSP,Palm Springs International,Palm Springs,CA,390.57,486.92,"52,826"
99,XNA,Northwest Arkansas National,Fayetteville,AR,536.45,668.79,"52,302"
100,SFB,Orlando Sanford International,Sanford,FL,122.74,153.02,"49,228"
101,PIE,St Pete Clearwater International,St. Petersburg,FL,128.05,159.64,"48,926"
102,EUG,Mahlon Sweet Field,Eugene,OR,366.13,456.45,"48,232"
103,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,396.24,494,"47,815"
104,GSO,Piedmont Triad International,Greensboro/High Point,NC,434.84,542.12,"47,695"
105,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,441.18,550.02,"42,336"
106,MDT,Harrisburg International,Harrisburg,PA,467.85,583.28,"39,694"
107,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,149.67,186.6,"39,517"
108,HVN,Tweed New Haven,New Haven,CT,368.14,458.96,"39,387"
109,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,599.3,747.15,"39,265"
110,FSD,Joe Foss Field,Sioux Falls,SD,428.67,534.42,"38,653"
111,ISP,Long Island MacArthur,Islip,NY,260.55,324.83,"38,594"
112,MHT,Manchester Boston Regional,Manchester,NH,378.03,471.3,"37,731"
113,BTV,Burlington International,Burlington,VT,404.9,504.79,"37,173"
114,PGD,Punta Gorda Airport,Punta Gorda,FL,128.64,160.37,"37,167"
115,MAF,Midland International Air and Space Port,Midland/Odessa,TX,481.36,600.11,"37,030"
116,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,409.17,510.12,"36,360"
117,LEX,Blue Grass,Lexington,KY,428.21,533.86,"36,151"
118,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,547.21,682.21,"35,945"
119,ITO,Hilo International,Hilo,HI,260.36,324.59,"35,931"
120,MFE,McAllen International,Mission/McAllen/Edinburg,TX,505.84,630.63,"34,181"
121,ILM,Wilmington International,Wilmington,NC,440.64,549.35,"34,127"
122,SGF,Springfield-Branson National,Springfield,MO,447.17,557.49,"33,789"
123,SBA,Santa Barbara Municipal,Santa Barbara,CA,510.23,636.11,"33,422"
124,DAY,James M Cox/Dayton International,Dayton,OH,420.63,524.4,"33,343"
125,CAE,Columbia Metropolitan,Columbia,SC,480.74,599.34,"31,667"
126,ATW,Appleton International,Appleton,WI,446.46,556.6,"31,448"
127,FAR,Hector International,Fargo,ND,496.25,618.67,"31,288"
128,RDM,Roberts Field,Bend/Redmond,OR,391.94,488.63,"30,500"
129,ECP,Northwest Florida Beaches International,Panama City,FL,429.25,535.15,"29,016"
130,LBB,Lubbock Preston Smith International,Lubbock,TX,425.1,529.97,"28,969"
131,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,322.7,402.31,"28,543"
132,MFR,Rogue Valley International - Medford,Medford,OR,365.84,456.09,"27,614"
133,CHA,Lovell Field,Chattanooga,TN,426.93,532.25,"27,467"
134,FAI,Fairbanks International,Fairbanks,AK,427.71,533.23,"27,262"
135,HRL,Valley International,Harlingen/San Benito,TX,370.05,461.35,"26,858"
136,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,420.65,524.42,"26,207"
137,SBN,South Bend International,South Bend,IN,396.94,494.86,"25,913"
138,ACY,Atlantic City International,Atlantic City,NJ,114.65,142.94,"25,701"
139,BQN,Rafael Hernandez,Aguadilla,PR,207.9,259.19,"25,056"
140,FWA,Fort Wayne International,Fort Wayne,IN,433.94,540.99,"24,734"
141,PVU,Provo Municipal,Provo,UT,119.15,148.55,"23,767"
142,MSO,Missoula Montana,Missoula,MT,409.33,510.31,"22,833"
143,TTN,Trenton Mercer,Trenton,NJ,132.4,165.06,"22,812"
144,CAK,Akron-Canton Regional,Akron,OH,366.54,456.97,"22,702"
145,BIL,Billings Logan International,Billings,MT,457.6,570.49,"22,381"
146,TLH,Tallahassee International,Tallahassee,FL,540.39,673.71,"21,661"
147,PIA,General Downing - Peoria International,Peoria,IL,351.79,438.57,"21,555"
148,STT,Cyril E King,Charlotte Amalie,VI,366.83,457.33,"21,503"
149,AMA,Rick Husband Amarillo International,Amarillo,TX,421.49,525.47,"21,265"
150,BLI,Bellingham International,Bellingham,WA,259.75,323.84,"20,556"
151,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,481.86,600.74,"20,409"
152,FNT,Bishop International,Flint,MI,347.3,432.99,"20,367"
153,FCA,Glacier Park International,Kalispell,MT,438.28,546.41,"19,909"
154,ROA,Roanoke Blacksburg Regional,Roanoke,VA,500,623.35,"18,679"
155,CRP,Corpus Christi International,Corpus Christi,TX,445.09,554.89,"18,601"
156,BGR,Bangor International,Bangor,ME,395.17,492.66,"18,011"
157,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,296.41,369.53,"17,676"
158,GRB,Green Bay Austin Straubel International,Green Bay,WI,544.1,678.33,"17,629"
159,CHO,Charlottesville Albemarle,Charlottesville,VA,426.07,531.19,"17,610"
160,SBP,San Luis County Regional,San Luis Obispo,CA,519.13,647.2,"17,589"
161,SHV,Shreveport Regional,Shreveport,LA,516.37,643.76,"17,089"
162,TVC,Cherry Capital,Traverse City,MI,558.66,696.49,"17,024"
163,RAP,Rapid City Regional,Rapid City,SD,486.03,605.94,"16,736"
164,MLI,Quad Cities International,Moline,IL,391.13,487.63,"16,708"
165,AGS,Augusta Regional at Bush Field,Augusta,GA,448.02,558.55,"16,535"
166,DAB,Daytona Beach International,Daytona Beach,FL,379.37,472.96,"16,439"
167,JAC,Jackson Hole,Jackson,WY,612.68,763.83,"15,756"
168,BIS,Bismarck Municipal,Bismarck/Mandan,ND,444.51,554.18,"15,560"
169,GNV,Gainesville Regional,Gainesville,FL,464.02,578.5,"15,253"
170,IDA,Idaho Falls Regional,Idaho Falls,ID,490.73,611.79,"15,056"
171,EYW,Key West International,Key West,FL,431.86,538.4,"14,649"
