2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,291.59,352.7,"12,53,716"
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,276.92,334.96,"10,32,358"
3,DEN,Denver International,Denver,CO,252.89,305.9,"9,95,251"
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,299.23,361.95,"9,81,435"
5,EWR,Newark Liberty International,Newark,NJ,305.94,370.07,"9,30,056"
6,BOS,Logan International,Boston,MA,290.54,351.43,"9,20,214"
7,SEA,Seattle/Tacoma International,Seattle,WA,287.04,347.2,"8,61,535"
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,323.76,391.61,"8,36,341"
9,MCO,Orlando International,Orlando,FL,215.74,260.96,"8,28,554"
10,SFO,San Francisco International,San Francisco,CA,338.28,409.18,"8,11,808"
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,280.89,339.76,"7,93,797"
12,LGA,LaGuardia,New York-La Guardia,NY,279.91,338.58,"7,30,774"
13,JFK,John F. Kennedy International,New York-JFK,NY,344.35,416.53,"7,15,113"
14,LAS,Harry Reid International,Las Vegas,NV,210.13,254.17,"6,72,945"
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,314.42,380.32,"6,12,265"
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,324.51,392.52,"5,91,987"
17,PHL,Philadelphia International,Philadelphia,PA,293.15,354.59,"5,81,785"
18,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,214.33,259.26,"5,69,566"
19,SAN,San Diego International,San Diego,CA,282.96,342.27,"5,66,704"
20,DTW,Detroit Metro Wayne County,Detroit,MI,313.78,379.54,"5,44,649"
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,315.73,381.91,"5,16,012"
22,TPA,Tampa International,Tampa,FL,258.94,313.21,"5,05,498"
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,267.48,323.54,"4,71,540"
24,AUS,Austin - Bergstrom International,Austin,TX,285.64,345.5,"4,68,640"
25,MIA,Miami International,Miami,FL,265.82,321.53,"4,65,197"
26,PDX,Portland International,Portland,OR,289.01,349.58,"4,23,065"
27,BNA,Nashville International,Nashville,TN,271.04,327.85,"4,15,942"
28,CLT,Charlotte Douglas International,Charlotte,NC,335.27,405.54,"4,06,215"
29,SLC,Salt Lake City International,Salt Lake City,UT,329.56,398.64,"4,04,065"
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,288.82,349.35,"3,77,142"
31,SMF,Sacramento International,Sacramento,CA,282.8,342.07,"3,46,768"
32,HNL,Daniel K Inouye International,Honolulu,HI,296.31,358.41,"3,43,489"
33,MDW,Chicago Midway International,Chicago-Midway,IL,234.64,283.82,"3,42,441"
34,STL,St Louis Lambert International,St. Louis,MO,301.17,364.3,"3,03,255"
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,256.71,310.51,"2,93,529"
36,IAD,Washington Dulles International,Washington-Dulles,DC,379.19,458.67,"2,92,444"
37,MCI,Kansas City International,Kansas City,MO,308.82,373.54,"2,82,101"
38,DAL,Dallas Love Field,Dallas-Love Field,TX,259.47,313.86,"2,74,687"
39,IND,Indianapolis International,Indianapolis,IN,286.55,346.61,"2,68,397"
40,CLE,Cleveland-Hopkins International,Cleveland,OH,256.61,310.39,"2,68,394"
41,SNA,John Wayne Airport-Orange County,Santa Ana,CA,325.27,393.45,"2,68,194"
42,OAK,Metro Oakland International,Oakland,CA,250.02,302.43,"2,68,118"
43,SAT,San Antonio International,San Antonio,TX,311.92,377.29,"2,61,976"
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,253.71,306.89,"2,60,447"
45,PIT,Pittsburgh International,Pittsburgh,PA,292.82,354.19,"2,53,479"
46,SJU,Luis Munoz Marin International,San Juan,PR,207.74,251.28,"2,52,759"
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,266.05,321.81,"2,43,473"
48,CMH,John Glenn Columbus International,Columbus,OH,300.08,362.97,"2,25,783"
49,HOU,William P Hobby,Houston-Hobby,TX,269.28,325.72,"2,15,872"
50,RSW,Southwest Florida International,Fort Myers,FL,258.39,312.55,"1,97,390"
51,BDL,Bradley International,Hartford,CT,312.68,378.22,"1,96,921"
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,291.9,353.09,"1,85,939"
53,JAX,Jacksonville International,Jacksonville,FL,305.89,370,"1,81,957"
54,ONT,Ontario International,Ontario,CA,286.54,346.6,"1,79,868"
55,MKE,General Mitchell International,Milwaukee,WI,302.28,365.63,"1,72,259"
56,BUR,Bob Hope,Burbank,CA,250.21,302.65,"1,66,485"
57,RIC,Richmond International,Richmond,VA,319.54,386.52,"1,40,508"
58,CHS,Charleston AFB/International,Charleston,SC,303.39,366.98,"1,38,997"
59,OMA,Eppley Airfield,Omaha,NE,307.78,372.29,"1,37,674"
60,BUF,Buffalo Niagara International,Buffalo,NY,289.22,349.84,"1,31,633"
61,MEM,Memphis International,Memphis,TN,302.55,365.97,"1,29,884"
62,BOI,Boise Air Terminal,Boise,ID,291.75,352.9,"1,27,913"
63,ABQ,Albuquerque International Sunport,Albuquerque,NM,295.48,357.41,"1,26,659"
64,ORF,Norfolk International,Norfolk,VA,330.4,399.65,"1,24,459"
65,SDF,Louisville Muhammad Ali International,Louisville,KY,304.49,368.31,"1,18,896"
66,ELP,El Paso International,El Paso,TX,304.21,367.96,"1,15,210"
67,OKC,Will Rogers World,Oklahoma City,OK,311.12,376.33,"1,14,953"
68,GRR,Gerald R. Ford International,Grand Rapids,MI,294.91,356.73,"1,13,422"
69,OGG,Kahului Airport,Kahului,HI,260.14,314.66,"1,12,210"
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,422.21,510.7,"1,10,792"
71,GEG,Spokane International,Spokane,WA,297.76,360.17,"1,07,983"
72,PVD,Rhode Island Tf Green International,Providence,RI,283.06,342.39,"1,05,267"
73,RNO,Reno/Tahoe International,Reno,NV,295.83,357.84,"1,03,006"
74,TUS,Tucson International,Tucson,AZ,311.91,377.28,"1,01,796"
75,LGB,Long Beach Airport,Long Beach,CA,210.01,254.03,"91,391"
76,DSM,Des Moines International,Des Moines,IA,303.32,366.89,"91,016"
77,SYR,Syracuse Hancock International,Syracuse,NY,315.61,381.76,"87,283"
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,277.4,335.54,"84,841"
79,TUL,Tulsa International,Tulsa,OK,314.39,380.29,"84,388"
80,ALB,Albany International,Albany,NY,322,389.49,"80,925"
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,345.79,418.27,"80,899"
82,SAV,Savannah/Hilton Head International,Savannah,GA,335.95,406.36,"80,755"
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,321.74,389.17,"79,663"
84,HPN,Westchester County,White Plains,NY,357.56,432.5,"79,525"
85,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,251.88,304.68,"74,248"
86,TYS,McGhee Tyson,Knoxville,TN,328.57,397.43,"70,510"
87,GSP,Greenville-Spartanburg International,Greer,SC,333.03,402.83,"66,643"
88,PNS,Pensacola International,Pensacola,FL,313.95,379.76,"65,408"
89,LIH,Lihue Airport,Lihue,HI,236.2,285.71,"63,641"
90,COS,City of Colorado Springs Municipal,Colorado Springs,CO,333.03,402.83,"63,276"
91,MYR,Myrtle Beach International,Myrtle Beach,SC,254.55,307.9,"62,463"
92,FAT,Fresno Yosemite International,Fresno,CA,335.31,405.59,"62,442"
