2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
220,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,298.77,365.85,"5,417"
221,MLU,Monroe Regional,Monroe,LA,513.17,628.39,"5,408"
222,BET,Bethel Airport,Bethel,AK,357.89,438.24,"5,407"
223,KTN,Ketchikan International,Ketchikan,AK,461.28,564.85,"5,398"
224,PBG,Plattsburgh International,Plattsburgh,NY,208.52,255.33,"5,344"
225,MBS,MBS International,Saginaw/Bay City/Midland,MI,540.3,661.6,"5,302"
226,ACK,Nantucket Memorial,Nantucket,MA,294.39,360.49,"5,188"
227,AEX,Alexandria International,Alexandria,LA,525.75,643.79,"5,155"
227,RDD,Redding Regional,Redding,CA,474.76,581.35,"5,155"
229,LCH,Lake Charles Regional,Lake Charles,LA,550.3,673.85,"5,029"
230,CPR,Casper/Natrona County International,Casper,WY,546.46,669.14,"4,873"
231,HLN,Helena Regional,Helena,MT,493.17,603.89,"4,836"
232,TOL,Eugene F Kranz Toledo Express,Toledo,OH,274.84,336.55,"4,810"
233,ABI,Abilene Regional,Abilene,TX,527.22,645.59,"4,793"
234,SCK,Stockton Metro,Stockton,CA,138.42,169.5,"4,631"
235,CWA,Central Wisconsin,Mosinee,WI,486.84,596.14,"4,622"
236,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,474.56,581.11,"4,574"
237,GUM,Guam International,Guam,TT,1173.8,1437.33,"4,555"
238,RST,Rochester International,Rochester,MN,393.38,481.7,"4,541"
239,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,511.61,626.47,"4,395"
240,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,466.35,571.06,"4,214"
241,YUM,Yuma MCAS/Yuma International,Yuma,AZ,458.2,561.08,"4,144"
242,GRI,Central Nebraska Regional,Grand Island,NE,295.03,361.27,"4,002"
243,IAG,Niagara Falls International,Niagara Falls,NY,170.39,208.64,"3,822"
244,CMI,University of Illinois/Willard,Champaign/Urbana,IL,533.1,652.78,"3,785"
245,SIT,Sitka Rocky Gutierrez,Sitka,AK,415.38,508.63,"3,673"
246,PUW,Pullman Moscow Regional,Pullman,WA,399.34,489,"3,553"
247,PSM,Portsmouth International at Pease,Portsmouth,NH,188.19,230.44,"3,481"
248,ADQ,Kodiak Airport,Kodiak,AK,514.65,630.19,"3,479"
249,HHH,Hilton Head Airport,Hilton Head,SC,408.48,500.19,"3,467"
250,FSM,Fort Smith Regional,Fort Smith,AR,543.16,665.1,"3,382"
251,FLG,Flagstaff Pulliam,Flagstaff,AZ,417.9,511.73,"3,362"
252,CLL,Easterwood Field,College Station/Bryan,TX,487.3,596.7,"3,332"
253,TYR,Tyler Pounds Regional,Tyler,TX,501.35,613.91,"3,276"
254,SPI,Abraham Lincoln Capital,Springfield,IL,400.87,490.87,"3,274"
255,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,463.81,567.95,"3,264"
256,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,326.04,399.24,"3,228"
257,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,436.89,534.98,"3,215"
258,ERI,Erie International/Tom Ridge Field,Erie,PA,408.99,500.81,"3,068"
259,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,473.86,580.25,"3,037"
260,ACT,Waco Regional,Waco,TX,546.58,669.29,"3,025"
261,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,528.43,647.07,"2,921"
262,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,510.08,624.6,"2,865"
263,CSG,Columbus Airport,Columbus,GA,527.57,646.01,"2,822"
264,TXK,Texarkana Regional-Webb Field,Texarkana,AR,508.65,622.85,"2,694"
265,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,249.71,305.78,"2,660"
266,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,478.14,585.48,"2,653"
267,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,504.95,618.31,"2,533"
268,ROW,Roswell Air Center,Roswell,NM,503.4,616.43,"2,529"
269,VLD,Valdosta Regional,Valdosta,GA,605.32,741.22,"2,469"
270,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,146.87,179.84,"2,423"
271,OME,Nome Airport,Nome,AK,524.21,641.9,"2,355"
272,LSE,La Crosse Regional,La Crosse,WI,466.73,571.51,"2,234"
273,MQT,Marquette Sawyer Regional,Marquette,MI,513.28,628.52,"2,119"
274,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,477.52,584.73,"2,092"
275,GGG,East Texas Regional,Longview,TX,496.1,607.48,"2,060"
276,OTZ,Ralph Wien Memorial,Kotzebue,AK,430.37,526.99,"2,052"
277,GTR,Golden Triangle Regional,Columbus,MS,587.93,719.93,"2,044"
278,SWO,Stillwater Regional,Stillwater,OK,459.26,562.37,"2,031"
279,PPG,Pago Pago International,Pago Pago,TT,1151.05,1409.48,"1,996"
280,LWS,Lewiston Nez Perce County,Lewiston,ID,565.41,692.35,"1,989"
281,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,486.96,596.29,"1,904"
282,PGV,Pitt Greenville,Greenville,NC,428.41,524.6,"1,856"
283,ABY,Southwest Georgia Regional,Albany,GA,578.48,708.36,"1,792"
284,COD,Yellowstone Regional,Cody,WY,520.21,637.01,"1,708"
285,DHN,Dothan Regional,Dothan,AL,634.35,776.77,"1,695"
286,STC,St. Cloud Regional,St. Cloud,MN,216.17,264.7,"1,609"
287,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,459.19,562.28,"1,570"
288,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,542.48,664.27,"1,543"
289,GCC,Northeast Wyoming Regional,Gillette,WY,581,711.44,"1,516"
290,BJI,Bemidji Regional,Bemidji,MN,557.15,682.24,"1,501"
291,EAT,Pangborn Memorial,Wenatchee,WA,418.49,512.45,"1,473"
292,SCC,Deadhorse Airport,Deadhorse,AK,403.19,493.71,"1,463"
293,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,576.77,706.26,"1,460"
294,CIU,Chippewa County International,Sault Ste. Marie,MI,572.24,700.71,"1,409"
295,SHR,Sheridan County,Sheridan,WY,853.13,1044.67,"1,408"
296,GCK,Garden City Regional,Garden City,KS,477.91,585.21,"1,388"
297,BQK,Brunswick Golden Isles,Brunswick,GA,521.73,638.87,"1,362"
298,ART,Watertown International,Watertown,NY,457.2,559.85,"1,358"
299,ABR,Aberdeen Regional,Aberdeen,SD,577.51,707.17,"1,351"
300,ALW,Walla Walla Regional,Walla Walla,WA,372.12,455.66,"1,346"
301,DLG,Dillingham Airport,Dillingham,AK,572.13,700.58,"1,344"
302,FLO,Florence Regional,Florence,SC,418.13,512.01,"1,341"
303,HOB,Lea County Regional,Hobbs,NM,515.55,631.3,"1,296"
304,DBQ,Dubuque Regional,Dubuque,IA,525.58,643.58,"1,288"
305,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,434.03,531.48,"1,263"
306,RHI,Rhinelander/Oneida County,Rhinelander,WI,546.72,669.47,"1,234"
307,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,609.45,746.28,"1,214"
308,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,618.86,757.81,"1,212"
309,IMT,Ford,Iron Mountain/Kingsfd,MI,442.34,541.65,"1,207"
310,EAU,Chippewa Valley Regional,Eau Claire,WI,439.45,538.11,"1,201"
311,SPN,Francisco C. Ada Saipan International,Saipan,TT,405.13,496.08,"1,197"
312,PQI,Presque Isle International,Presque Isle/Houlton,ME,502.25,615.01,"1,142"
313,PIH,Pocatello Regional,Pocatello,ID,608.22,744.77,"1,017"
314,SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,454.29,556.28,995
315,PSG,Petersburg James A Johnson,Petersburg,AK,422.2,516.99,981
316,CMX,Houghton County Memorial,Hancock/Houghton,MI,550.02,673.51,979
317,RKS,Southwest Wyoming Regional,Rock Springs,WY,496.03,607.4,945
318,AKN,King Salmon Airport,King Salmon,AK,612.22,749.67,935
319,LAR,Laramie Regional,Laramie,WY,476.17,583.07,910
320,BRD,Brainerd Lakes Regional,Brainerd,MN,591.17,723.89,901
321,RIW,Central Wyoming Regional,Riverton/Lander,WY,816.29,999.56,890
