2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,322.2,372.25,"12,53,716"
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,284.93,329.19,"10,32,358"
3,DEN,Denver International,Denver,CO,271.37,313.52,"9,95,251"
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,303.74,350.91,"9,81,435"
5,EWR,Newark Liberty International,Newark,NJ,313.97,362.73,"9,30,056"
6,BOS,Logan International,Boston,MA,329.44,380.61,"9,20,214"
7,SEA,Seattle/Tacoma International,Seattle,WA,308.81,356.77,"8,61,535"
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,319.66,369.31,"8,36,341"
9,MCO,Orlando International,Orlando,FL,220.15,254.34,"8,28,554"
10,SFO,San Francisco International,San Francisco,CA,388.38,448.7,"8,11,808"
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,292.23,337.62,"7,93,797"
12,LGA,LaGuardia,New York-La Guardia,NY,283.63,327.69,"7,30,774"
13,JFK,John F. Kennedy International,New York-JFK,NY,338.82,391.45,"7,15,113"
14,LAS,Harry Reid International,Las Vegas,NV,230.91,266.77,"6,72,945"
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,305.72,353.21,"6,12,265"
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,324.59,375.01,"5,91,987"
17,PHL,Philadelphia International,Philadelphia,PA,307.58,355.35,"5,81,785"
18,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,213.98,247.21,"5,69,566"
19,SAN,San Diego International,San Diego,CA,329.02,380.12,"5,66,704"
20,DTW,Detroit Metro Wayne County,Detroit,MI,326.08,376.72,"5,44,649"
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,323.64,373.9,"5,16,012"
22,TPA,Tampa International,Tampa,FL,257.98,298.05,"5,05,498"
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,292.32,337.72,"4,71,540"
24,AUS,Austin - Bergstrom International,Austin,TX,297.83,344.09,"4,68,640"
25,MIA,Miami International,Miami,FL,249.76,288.55,"4,65,197"
26,PDX,Portland International,Portland,OR,338.02,390.52,"4,23,065"
27,BNA,Nashville International,Nashville,TN,280.65,324.25,"4,15,942"
28,CLT,Charlotte Douglas International,Charlotte,NC,338.36,390.91,"4,06,215"
29,SLC,Salt Lake City International,Salt Lake City,UT,332.65,384.31,"4,04,065"
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,299.39,345.9,"3,77,142"
31,SMF,Sacramento International,Sacramento,CA,323.47,373.72,"3,46,768"
32,HNL,Daniel K Inouye International,Honolulu,HI,328.61,379.65,"3,43,489"
33,MDW,Chicago Midway International,Chicago-Midway,IL,248.51,287.11,"3,42,441"
34,STL,St Louis Lambert International,St. Louis,MO,308.38,356.28,"3,03,255"
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,305.14,352.54,"2,93,529"
36,IAD,Washington Dulles International,Washington-Dulles,DC,397.9,459.7,"2,92,444"
37,MCI,Kansas City International,Kansas City,MO,325.37,375.9,"2,82,101"
38,DAL,Dallas Love Field,Dallas-Love Field,TX,261.87,302.54,"2,74,687"
39,IND,Indianapolis International,Indianapolis,IN,308.82,356.79,"2,68,397"
40,CLE,Cleveland-Hopkins International,Cleveland,OH,277.69,320.82,"2,68,394"
41,SNA,John Wayne Airport-Orange County,Santa Ana,CA,315.29,364.25,"2,68,194"
42,OAK,Metro Oakland International,Oakland,CA,271.7,313.9,"2,68,118"
43,SAT,San Antonio International,San Antonio,TX,329.84,381.07,"2,61,976"
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,269.02,310.8,"2,60,447"
45,PIT,Pittsburgh International,Pittsburgh,PA,312.33,360.84,"2,53,479"
46,SJU,Luis Munoz Marin International,San Juan,PR,236.73,273.49,"2,52,759"
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,286.19,330.64,"2,43,473"
48,CMH,John Glenn Columbus International,Columbus,OH,314.97,363.89,"2,25,783"
49,HOU,William P Hobby,Houston-Hobby,TX,275.28,318.03,"2,15,872"
50,RSW,Southwest Florida International,Fort Myers,FL,264.91,306.05,"1,97,390"
51,BDL,Bradley International,Hartford,CT,327.86,378.79,"1,96,921"
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,294.01,339.68,"1,85,939"
53,JAX,Jacksonville International,Jacksonville,FL,315.67,364.7,"1,81,957"
54,ONT,Ontario International,Ontario,CA,302.28,349.23,"1,79,868"
55,MKE,General Mitchell International,Milwaukee,WI,322.23,372.28,"1,72,259"
56,BUR,Bob Hope,Burbank,CA,254.99,294.6,"1,66,485"
57,RIC,Richmond International,Richmond,VA,325.59,376.16,"1,40,508"
58,CHS,Charleston AFB/International,Charleston,SC,298.19,344.5,"1,38,997"
59,OMA,Eppley Airfield,Omaha,NE,331.97,383.53,"1,37,674"
60,BUF,Buffalo Niagara International,Buffalo,NY,310.62,358.87,"1,31,633"
61,MEM,Memphis International,Memphis,TN,318.75,368.26,"1,29,884"
62,BOI,Boise Air Terminal,Boise,ID,304.44,351.73,"1,27,913"
63,ABQ,Albuquerque International Sunport,Albuquerque,NM,345.54,399.2,"1,26,659"
64,ORF,Norfolk International,Norfolk,VA,351.41,405.99,"1,24,459"
65,SDF,Louisville Muhammad Ali International,Louisville,KY,306.5,354.1,"1,18,896"
66,ELP,El Paso International,El Paso,TX,331.05,382.47,"1,15,210"
67,OKC,Will Rogers World,Oklahoma City,OK,339.46,392.19,"1,14,953"
68,GRR,Gerald R. Ford International,Grand Rapids,MI,322.06,372.08,"1,13,422"
69,OGG,Kahului Airport,Kahului,HI,274.25,316.85,"1,12,210"
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,406.48,469.61,"1,10,792"
71,GEG,Spokane International,Spokane,WA,323.36,373.58,"1,07,983"
72,PVD,Rhode Island Tf Green International,Providence,RI,324,374.32,"1,05,267"
73,RNO,Reno/Tahoe International,Reno,NV,308.18,356.05,"1,03,006"
74,TUS,Tucson International,Tucson,AZ,347.36,401.31,"1,01,796"
75,LGB,Long Beach Airport,Long Beach,CA,254.83,294.41,"91,391"
76,DSM,Des Moines International,Des Moines,IA,322.8,372.94,"91,016"
77,SYR,Syracuse Hancock International,Syracuse,NY,348.61,402.75,"87,283"
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,263.13,304,"84,841"
79,TUL,Tulsa International,Tulsa,OK,339.17,391.85,"84,388"
80,ALB,Albany International,Albany,NY,356.51,411.88,"80,925"
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,374.05,432.14,"80,899"
82,SAV,Savannah/Hilton Head International,Savannah,GA,306.54,354.15,"80,755"
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,348.33,402.44,"79,663"
84,HPN,Westchester County,White Plains,NY,335.62,387.75,"79,525"
85,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,268.52,310.22,"74,248"
86,TYS,McGhee Tyson,Knoxville,TN,354.86,409.98,"70,510"
87,GSP,Greenville-Spartanburg International,Greer,SC,362.69,419.03,"66,643"
88,PNS,Pensacola International,Pensacola,FL,318.01,367.4,"65,408"
89,LIH,Lihue Airport,Lihue,HI,259.76,300.1,"63,641"
90,COS,City of Colorado Springs Municipal,Colorado Springs,CO,312.13,360.61,"63,276"
91,MYR,Myrtle Beach International,Myrtle Beach,SC,222.59,257.17,"62,463"
92,FAT,Fresno Yosemite International,Fresno,CA,337.86,390.33,"62,442"
93,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,343.51,396.87,"60,257"
94,PWM,Portland International Jetport,Portland,ME,334.18,386.08,"58,808"
95,MSN,Dane County Regional-Truax Field,Madison,WI,394.96,456.3,"58,807"
96,AVL,Asheville Regional,Asheville,NC,271.61,313.79,"54,972"
97,BZN,Bozeman Yellowstone International,Bozeman,MT,320.16,369.89,"52,928"
