2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,416.64,445.69,"12,53,716"
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,373.01,399.01,"10,32,358"
3,DEN,Denver International,Denver,CO,341.22,365,"9,95,251"
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,393.8,421.25,"9,81,435"
5,EWR,Newark Liberty International,Newark,NJ,403.22,431.33,"9,30,056"
6,BOS,Logan International,Boston,MA,386.07,412.98,"9,20,214"
7,SEA,Seattle/Tacoma International,Seattle,WA,409.84,438.41,"8,61,535"
8,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,420.36,449.66,"8,36,341"
9,MCO,Orlando International,Orlando,FL,273.35,292.41,"8,28,554"
10,SFO,San Francisco International,San Francisco,CA,456.86,488.71,"8,11,808"
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,372.62,398.6,"7,93,797"
12,LGA,LaGuardia,New York-La Guardia,NY,318.49,340.69,"7,30,774"
13,JFK,John F. Kennedy International,New York-JFK,NY,416.17,445.18,"7,15,113"
14,LAS,Harry Reid International,Las Vegas,NV,264.24,282.66,"6,72,945"
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,408.51,436.98,"6,12,265"
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,400.73,428.67,"5,91,987"
17,PHL,Philadelphia International,Philadelphia,PA,396.79,424.45,"5,81,785"
18,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,271.78,290.72,"5,69,566"
19,SAN,San Diego International,San Diego,CA,378.16,404.52,"5,66,704"
20,DTW,Detroit Metro Wayne County,Detroit,MI,425.35,455,"5,44,649"
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,379.01,405.44,"5,16,012"
22,TPA,Tampa International,Tampa,FL,328.84,351.76,"5,05,498"
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,351.26,375.75,"4,71,540"
24,AUS,Austin - Bergstrom International,Austin,TX,362.92,388.22,"4,68,640"
25,MIA,Miami International,Miami,FL,322.89,345.39,"4,65,197"
26,PDX,Portland International,Portland,OR,425.35,455,"4,23,065"
27,BNA,Nashville International,Nashville,TN,346.47,370.62,"4,15,942"
28,CLT,Charlotte Douglas International,Charlotte,NC,444.42,475.41,"4,06,215"
29,SLC,Salt Lake City International,Salt Lake City,UT,420.3,449.6,"4,04,065"
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,381.63,408.23,"3,77,142"
31,SMF,Sacramento International,Sacramento,CA,367.64,393.27,"3,46,768"
32,HNL,Daniel K Inouye International,Honolulu,HI,348.33,372.62,"3,43,489"
33,MDW,Chicago Midway International,Chicago-Midway,IL,303.05,324.18,"3,42,441"
34,STL,St Louis Lambert International,St. Louis,MO,373.76,399.82,"3,03,255"
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,325.94,348.66,"2,93,529"
36,IAD,Washington Dulles International,Washington-Dulles,DC,494.78,529.28,"2,92,444"
37,MCI,Kansas City International,Kansas City,MO,394.88,422.41,"2,82,101"
38,DAL,Dallas Love Field,Dallas-Love Field,TX,329.47,352.43,"2,74,687"
39,IND,Indianapolis International,Indianapolis,IN,391.94,419.26,"2,68,397"
40,CLE,Cleveland-Hopkins International,Cleveland,OH,343.09,367.01,"2,68,394"
41,SNA,John Wayne Airport-Orange County,Santa Ana,CA,382.37,409.02,"2,68,194"
42,OAK,Metro Oakland International,Oakland,CA,288.23,308.32,"2,68,118"
43,SAT,San Antonio International,San Antonio,TX,390.39,417.6,"2,61,976"
44,MSY,Louis Armstrong New Orleans International,New Orleans,LA,320.25,342.58,"2,60,447"
45,PIT,Pittsburgh International,Pittsburgh,PA,382.66,409.34,"2,53,479"
46,SJU,Luis Munoz Marin International,San Juan,PR,299.03,319.87,"2,52,759"
47,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,368.71,394.42,"2,43,473"
48,CMH,John Glenn Columbus International,Columbus,OH,391.7,419.01,"2,25,783"
49,HOU,William P Hobby,Houston-Hobby,TX,328.64,351.55,"2,15,872"
50,RSW,Southwest Florida International,Fort Myers,FL,337.43,360.95,"1,97,390"
51,BDL,Bradley International,Hartford,CT,371.32,397.2,"1,96,921"
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,363.54,388.88,"1,85,939"
53,JAX,Jacksonville International,Jacksonville,FL,386.95,413.93,"1,81,957"
54,ONT,Ontario International,Ontario,CA,364.1,389.48,"1,79,868"
55,MKE,General Mitchell International,Milwaukee,WI,391.14,418.41,"1,72,259"
56,BUR,Bob Hope,Burbank,CA,278.32,297.73,"1,66,485"
57,RIC,Richmond International,Richmond,VA,401.11,429.07,"1,40,508"
58,CHS,Charleston AFB/International,Charleston,SC,352.45,377.02,"1,38,997"
59,OMA,Eppley Airfield,Omaha,NE,413.97,442.83,"1,37,674"
60,BUF,Buffalo Niagara International,Buffalo,NY,339.3,362.95,"1,31,633"
61,MEM,Memphis International,Memphis,TN,393.48,420.91,"1,29,884"
62,BOI,Boise Air Terminal,Boise,ID,388,415.04,"1,27,913"
63,ABQ,Albuquerque International Sunport,Albuquerque,NM,405.15,433.39,"1,26,659"
64,ORF,Norfolk International,Norfolk,VA,416.81,445.87,"1,24,459"
65,SDF,Louisville Muhammad Ali International,Louisville,KY,390.42,417.64,"1,18,896"
66,ELP,El Paso International,El Paso,TX,382.47,409.13,"1,15,210"
67,OKC,Will Rogers World,Oklahoma City,OK,423.91,453.46,"1,14,953"
68,GRR,Gerald R. Ford International,Grand Rapids,MI,404.17,432.34,"1,13,422"
69,OGG,Kahului Airport,Kahului,HI,269.43,288.21,"1,12,210"
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,508.24,543.67,"1,10,792"
71,GEG,Spokane International,Spokane,WA,415.4,444.36,"1,07,983"
72,PVD,Rhode Island Tf Green International,Providence,RI,355.8,380.6,"1,05,267"
73,RNO,Reno/Tahoe International,Reno,NV,382.17,408.81,"1,03,006"
74,TUS,Tucson International,Tucson,AZ,433.83,464.07,"1,01,796"
75,LGB,Long Beach Airport,Long Beach,CA,277.08,296.39,"91,391"
76,DSM,Des Moines International,Des Moines,IA,377.66,403.98,"91,016"
77,SYR,Syracuse Hancock International,Syracuse,NY,385.56,412.44,"87,283"
78,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,323.61,346.17,"84,841"
79,TUL,Tulsa International,Tulsa,OK,409.97,438.55,"84,388"
80,ALB,Albany International,Albany,NY,415.46,444.43,"80,925"
81,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,476.69,509.92,"80,899"
82,SAV,Savannah/Hilton Head International,Savannah,GA,378.67,405.06,"80,755"
83,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,378.49,404.88,"79,663"
