Month_Year,ORIGIN_AIRPORT_ID_origin,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,Average Fare ($)_origin,ORIGIN_AIRPORT_ID_dest,Average Fare ($)_dest,price_proxy,optimized_demand,date,year,original_revenue,optimized_revenue,revenue_uplift_percent,cluster
2018-01,ABE,ATL,29,19.96551724137931,13.206896551724139,0.0,29.0,322.7,ATL,360.85,341.775,31.051615312912148,2018-01-01,2018,9911.474999999999,10612.665823570549,7.074535561766041,0
2018-01,ABE,FLL,9,14.444444444444445,18.0,0.0,9.0,322.7,FLL,245.35,284.025,9.526044533749724,2018-01-01,2018,2556.225,2705.634798698265,5.844939263885815,0
2018-01,ABE,PGD,10,-2.8,-8.2,0.0,10.0,322.7,PGD,128.64,225.67,10.461680370336024,2018-01-01,2018,2256.7,2360.8874091737307,4.616803703360256,0
2018-01,ABE,PIE,9,-1.1111111111111112,-14.222222222222221,0.0,9.0,322.7,PIE,128.05,225.375,9.414956834462133,2018-01-01,2018,2028.375,2121.8958965669035,4.610631494023713,0
2018-01,ABE,SFB,31,33.67741935483871,27.225806451612904,0.0,31.0,322.7,SFB,122.74,222.72,32.412080378186324,2018-01-01,2018,6904.32,7218.818541829658,4.555097994149436,0
2018-01,ABQ,ATL,50,9.285714285714286,-3.326530612244898,0.02,49.0,345.6,ATL,360.85,353.225,52.586808436536124,2018-01-01,2018,17308.025,18574.975409995473,7.320017217420658,0
2018-01,ABQ,AUS,19,4.473684210526316,-3.3157894736842106,0.0,19.0,345.6,AUS,341.51,343.555,20.35140556764278,2018-01-01,2018,6527.545,6991.827139791515,7.112660882330416,0
2018-01,ABQ,BWI,31,-1.4838709677419355,-8.0,0.0,31.0,345.6,BWI,318.44,332.02,33.12840940636677,2018-01-01,2018,10292.619999999999,10999.294491101895,6.865836794731527,0
2018-01,ABQ,DAL,141,8.163120567375886,2.3,0.0,141.0,345.6,DAL,303.32,324.46000000000004,150.45317261805394,2018-01-01,2018,45748.86000000001,48816.03638765379,6.704377743300665,2
2018-01,ABQ,DEN,178,3.361581920903955,-2.8983050847457625,0.0056179775280898875,177.0,345.6,DEN,302.55,324.07500000000005,188.85220642588064,2018-01-01,2018,57361.27500000001,61202.278797467276,6.6961618225314306,2
2018-01,ABQ,DFW,109,-1.1203703703703705,-7.074074074074074,0.009174311926605505,108.0,345.6,DFW,383.43,364.515,116.16762918022921,2018-01-01,2018,39367.619999999995,42344.84335063125,7.562619611323355,4
2018-01,ABQ,HOU,86,6.25,-3.5180722891566263,0.023255813953488372,84.0,345.6,HOU,338.79,342.19500000000005,89.9501653684391,2018-01-01,2018,28744.380000000005,30780.496838253024,7.083530200522743,4
2018-01,ABQ,IAH,7,-2.0,-12.857142857142858,0.0,7.0,345.6,IAH,413.66,379.63,7.55217913716646,2018-01-01,2018,2657.41,2867.0337658425033,7.888273388092294,0
2018-01,ABQ,JFK,19,-1.7777777777777777,-2.3333333333333335,0.05263157894736842,18.0,345.6,JFK,390.2,367.9,19.37438354878158,2018-01-01,2018,6622.2,7127.835707596743,7.63546415989767,0
2018-01,ABQ,LAS,120,5.6,-2.575,0.0,120.0,345.6,LAS,240.35,292.975,127.24148565032942,2018-01-01,2018,35157.0,37278.574258405264,6.034571375274523,4
2018-01,ABQ,LAX,65,5.7846153846153845,-3.6,0.0,65.0,345.6,LAX,352.79,349.19500000000005,69.7018088868745,2018-01-01,2018,22697.675000000003,24339.523154252147,7.233552133653089,4
2018-01,ABQ,MCI,31,-0.6774193548387096,-10.290322580645162,0.0,31.0,345.6,MCI,348.32,346.96000000000004,33.22754512868398,2018-01-01,2018,10755.760000000002,11528.629057848195,7.185629447367668,0
2018-01,ABQ,MDW,38,2.1052631578947367,-1.054054054054054,0.0,38.0,345.6,MDW,305.63,325.615,40.5570311346478,2018-01-01,2018,12373.37,13205.977692908344,6.729029301704732,0
