Month_Year,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,optimized_demand,cluster
2018-01,ABE,ATL,29,19.96551724137931,13.206896551724139,0.0,29.0,0.18569533817705186,3
2018-01,ABE,FLL,9,14.444444444444445,18.0,0.0,9.0,0.3333333333333333,3
2018-01,ABE,PGD,10,-2.8,-8.2,0.0,10.0,0.3162277660168379,3
2018-01,ABE,PIE,9,-1.1111111111111112,-14.222222222222221,0.0,9.0,0.3333333333333333,3
2018-01,ABE,SFB,31,33.67741935483871,27.225806451612904,0.0,31.0,0.17960530202677488,3
2018-01,ABQ,ATL,50,9.285714285714286,-3.326530612244898,0.02,49.0,0.13859292911256332,3
2018-01,ABQ,AUS,19,4.473684210526316,-3.3157894736842106,0.0,19.0,0.22941573387056177,3
2018-01,ABQ,BSM,19,4.473684210526316,-3.3157894736842106,0.0,19.0,0.22941573387056177,3
2018-01,ABQ,BWI,31,-1.4838709677419355,-8.0,0.0,31.0,0.17960530202677488,3
2018-01,ABQ,DAL,141,8.163120567375886,2.3,0.0,141.0,0.08421519210665189,0
2018-01,ABQ,DEN,178,3.361581920903955,-2.8983050847457625,0.0056179775280898875,177.0,0.07453208368104915,1
2018-01,ABQ,DFW,109,-1.1203703703703705,-7.074074074074074,0.009174311926605505,108.0,0.09490388881090307,0
2018-01,ABQ,HOU,86,6.25,-3.5180722891566263,0.023255813953488372,84.0,0.10532503429173054,0
2018-01,ABQ,IAH,7,-2.0,-12.857142857142858,0.0,7.0,0.3779644730092272,3
2018-01,ABQ,JFK,19,-1.7777777777777777,-2.3333333333333335,0.05263157894736842,18.0,0.21734122156158484,3
2018-01,ABQ,LAS,120,5.6,-2.575,0.0,120.0,0.09128709291752769,0
2018-01,ABQ,LAX,65,5.7846153846153845,-3.6,0.0,65.0,0.12403473458920845,3
2018-01,ABQ,MCI,31,-0.6774193548387096,-10.290322580645162,0.0,31.0,0.17960530202677488,3
2018-01,ABQ,MDW,38,2.1052631578947367,-1.054054054054054,0.0,38.0,0.16222142113076254,3
2018-01,ABQ,MSP,2,-3.5,0.0,0.0,2.0,0.7071067811865476,3
2018-01,ABQ,OAK,62,5.016129032258065,-6.548387096774194,0.0,62.0,0.1270001270001905,3
2018-01,ABQ,ORD,31,-3.7,-5.5,0.03225806451612903,30.0,0.17381158260655635,3
2018-01,ABQ,PHX,169,13.591715976331361,11.52662721893491,0.0,169.0,0.07692307692307693,1
